## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\social_stim\soc_002-[b3d6a544-86ff-41a2-94fd-602cf00fc08c]\soc_002-eye_data.idf
## Date:	14.03.2016 13:02:50
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4878                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	soc_002                                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
1250203911	SMP	1	496.7	293.25	0	0	Faces_Pure_1_low.avi
1250237250	SMP	1	500.38	294.35	0	0	Faces_Pure_1_low.avi
1250270580	SMP	1	0	0	548.23	475.73	Faces_Pure_1_low.avi
1250303927	SMP	1	0	0	536.67	464.2	Faces_Pure_1_low.avi
1250337219	SMP	1	0	0	532.36	473.72	Faces_Pure_1_low.avi
1250370550	SMP	1	497.32	293.99	0	0	Faces_Pure_1_low.avi
1250403876	SMP	1	496.58	290.22	0	0	Faces_Pure_1_low.avi
1250437221	SMP	1	0	0	531.08	440.28	Faces_Pure_1_low.avi
1250470538	SMP	1	498.24	288.16	0	0	Faces_Pure_1_low.avi
1250503945	SMP	1	498.32	295.12	0	0	Faces_Pure_1_low.avi
1250537205	SMP	1	0	0	530.53	468.19	Faces_Pure_1_low.avi
1250570541	SMP	1	498.36	254.12	0	0	Faces_Pure_1_low.avi
1250603871	SMP	1	491.62	284.83	0	0	Faces_Pure_1_low.avi
1250637205	SMP	1	490.02	286.68	0	0	Faces_Pure_1_low.avi
1250670541	SMP	1	488.97	283.59	0	0	Faces_Pure_1_low.avi
1250705199	SMP	1	0	0	523.9	439.91	Faces_Pure_1_low.avi
1250737181	SMP	1	0	0	523.7	472.56	Faces_Pure_1_low.avi
1250770504	SMP	1	0	0	504.14	489.68	Faces_Pure_1_low.avi
1250803833	SMP	1	0	0	521.62	482.08	Faces_Pure_1_low.avi
1250837169	SMP	1	0	0	518.12	446.54	Faces_Pure_1_low.avi
1250870502	SMP	1	0	0	509.72	473.47	Faces_Pure_1_low.avi
1250903841	SMP	1	489.96	288.81	0	0	Faces_Pure_1_low.avi
1250937172	SMP	1	0	0	509.78	462.53	Faces_Pure_1_low.avi
1250970498	SMP	1	0	0	522.69	456.06	Faces_Pure_1_low.avi
1251003832	SMP	1	487.95	293.94	0	0	Faces_Pure_1_low.avi
1251037159	SMP	1	498.37	285.73	0	0	Faces_Pure_1_low.avi
1251070495	SMP	1	493.92	294.08	0	0	Faces_Pure_1_low.avi
1251103927	SMP	1	0	0	537.29	480.63	Faces_Pure_1_low.avi
1251137128	SMP	1	0	0	542.41	476.75	Faces_Pure_1_low.avi
1251170464	SMP	1	0	0	531.24	470.48	Faces_Pure_1_low.avi
1251203799	SMP	1	0	0	548.03	482.85	Faces_Pure_1_low.avi
1251237161	SMP	1	0	0	553.09	469.48	Faces_Pure_1_low.avi
1251270458	SMP	1	0	0	561.59	473.6	Faces_Pure_1_low.avi
1251303807	SMP	1	504.72	289.75	0	0	Faces_Pure_1_low.avi
1251337190	SMP	1	0	0	558.94	475.62	Faces_Pure_1_low.avi
1251370453	SMP	1	519.88	283.77	0	0	Faces_Pure_1_low.avi
1251403793	SMP	1	0	0	562.29	470.75	Faces_Pure_1_low.avi
1251437122	SMP	1	0	0	749.25	451.54	Faces_Pure_1_low.avi
1251470452	SMP	1	766.88	283.8	0	0	Faces_Pure_1_low.avi
1251504687	SMP	1	765.2	277.27	0	0	Faces_Pure_1_low.avi
1251537087	SMP	1	0	0	734.33	456.27	Faces_Pure_1_low.avi
1251570419	SMP	1	0	0	746.87	447.21	Faces_Pure_1_low.avi
1251603747	SMP	1	0	0	762.3	453.56	Faces_Pure_1_low.avi
1251637084	SMP	1	0	0	739.81	442.84	Faces_Pure_1_low.avi
1251670492	SMP	1	0	0	746.82	404.56	Faces_Pure_1_low.avi
1251703755	SMP	1	0	0	733.09	426.21	Faces_Pure_1_low.avi
1251737078	SMP	1	0	0	738.09	418.87	Faces_Pure_1_low.avi
1251770415	SMP	1	0	0	743.06	399.92	Faces_Pure_1_low.avi
1251803743	SMP	1	0	0	731.5	418.97	Faces_Pure_1_low.avi
1251837079	SMP	1	0	0	729.96	424.12	Faces_Pure_1_low.avi
1251870409	SMP	1	0	0	720.44	442.45	Faces_Pure_1_low.avi
1251903731	SMP	1	0	0	713.4	383.93	Faces_Pure_1_low.avi
1251937041	SMP	1	0	0	702.25	427.45	Faces_Pure_1_low.avi
1251970378	SMP	1	0	0	698.17	377.72	Faces_Pure_1_low.avi
1252003712	SMP	1	0	0	688.33	412.57	Faces_Pure_1_low.avi
1252037044	SMP	1	0	0	670.85	427.08	Faces_Pure_1_low.avi
1252070376	SMP	1	0	0	653.84	422.41	Faces_Pure_1_low.avi
1252103714	SMP	1	473.79	271.42	0	0	Faces_Pure_1_low.avi
1252137080	SMP	1	439.76	264.18	0	0	Faces_Pure_1_low.avi
1252170376	SMP	1	436.97	268.48	0	0	Faces_Pure_1_low.avi
